Outcode,YearBin,min,max,mean,stddev,count,median,lowerQuartile,upperQuartile,skew,range,IQR
AL1,1995 - 2004,7333.0,3000000.0,178652.45,129604.67940222348,9022.0,146000.0,95000.0,224000.0,3.629383770238584,2992667.0,129000.0
AL1,2005 - 2014,15000.0,10293988.0,362743.8566,264640.5240627326,7773.0,290000.0,225000.0,410000.0,9.479720366955965,10278988.0,185000.0
AL1,2015 +,100.0,37320000.0,627163.1236,978622.5399538996,6717.0,474950.0,340000.0,680000.0,21.09555733934785,37319900.0,340000.0
AL10,1995 - 2004,300.0,674900.0,126656.9664,76459.02013074796,5351.0,105000.0,70000.0,165950.0,1.5346917538975688,674600.0,95950.0
AL10,2005 - 2014,49000.0,9750075.0,216354.9375,198398.4497521513,4846.0,195000.0,172500.0,239950.0,37.97280899928262,9701075.0,67450.0
AL10,2015 +,100.0,49000000.0,400953.2375,1329849.990561726,3356.0,310000.0,239950.0,385200.0,26.790752853881635,48999900.0,145250.0
AL2,1995 - 2004,12000.0,1750000.0,168678.5146,113417.19568298604,4765.0,138000.0,90000.0,215000.0,2.4678244855732427,1738000.0,125000.0
AL2,2005 - 2014,45000.0,21900000.0,337828.3656,598482.7500077537,3972.0,287500.0,214000.0,400000.0,32.54099827678212,21855000.0,186000.0
AL2,2015 +,300.0,28169000.0,541035.0533,725616.6982036259,3396.0,476000.0,345000.0,627500.0,24.8203621604023,28168700.0,282500.0
AL3,1995 - 2004,4250.0,1400000.0,200015.4375,129097.8632729428,6356.0,169950.0,114000.0,250000.0,2.3235819747492807,1395750.0,136000.0
AL3,2005 - 2014,52500.0,4600000.0,391360.3518,221300.58002044624,5228.0,335000.0,249950.0,479999.0,3.351692549313576,4547500.0,230049.0
AL3,2015 +,100.0,9215000.0,606605.6627,436846.33797079977,4406.0,527000.0,379000.0,730000.0,6.785633501433196,9214900.0,351000.0
AL4,1995 - 2004,10000.0,2100000.0,182992.883,117569.25798610743,6059.0,156500.0,102000.0,239000.0,2.8416160901364296,2090000.0,137000.0
AL4,2005 - 2014,200.0,3750000.0,354023.5466,206476.4096005269,4552.0,315000.0,214000.0,450000.0,3.986368023755444,3749800.0,236000.0
AL4,2015 +,1000.0,50568313.0,617803.521,956453.529913641,3879.0,545000.0,365000.0,738000.0,39.35218639836122,50567313.0,373000.0
AL5,1995 - 2004,4250.0,3025000.0,239890.3361,189981.95992409083,6899.0,187000.0,120000.0,290000.0,2.9074260121030817,3020750.0,170000.0
AL5,2005 - 2014,6000.0,13250000.0,538052.4358,429591.5221909316,5883.0,421000.0,276500.0,665000.0,6.425342810397871,13244000.0,388500.0
AL5,2015 +,500.0,14575000.0,834689.6207,643010.1328592969,4925.0,693000.0,452500.0,1025000.0,5.793019772574048,14574500.0,572500.0
AL6,1995 - 2004,16000.0,1820300.0,262868.5749,173603.9643751675,2249.0,220000.0,143500.0,330000.0,2.065345388387673,1804300.0,186500.0
AL6,2005 - 2014,81350.0,3350000.0,507449.5941,323797.3155542743,1749.0,435000.0,300000.0,620000.0,2.6943070947524,3268650.0,320000.0
AL6,2015 +,2000.0,22256763.0,728271.7081,677064.9666322925,1850.0,650000.0,455000.0,860000.0,19.32700537143305,22254763.0,405000.0
AL7,1995 - 2004,605.0,1470000.0,122319.5447,67699.27029801448,5906.0,108500.0,74000.0,159000.0,2.397752692912416,1469395.0,85000.0
AL7,2005 - 2014,36250.0,4579800.0,214255.5703,93646.55190042032,5271.0,199950.0,170000.0,247500.0,19.824923513779872,4543550.0,77500.0
AL7,2015 +,1440.0,35000000.0,387653.3141,805154.5129308427,5269.0,332971.0,250000.0,406950.0,27.08018107487358,34998560.0,156950.0
AL8,1995 - 2004,1000.0,915000.0,170066.032,104421.61927963851,2560.0,142500.0,92950.0,220000.0,1.618369689150963,914000.0,127050.0
AL8,2005 - 2014,60000.0,10680000.0,337704.437,293156.4593804074,1872.0,289995.0,213000.0,420000.0,23.863430685469098,10620000.0,207000.0
AL8,2015 +,200.0,12800000.0,529306.1489,496845.97649827664,1733.0,447500.0,325000.0,650000.0,12.605702552384418,12799800.0,325000.0
AL9,1995 - 2004,300.0,6250000.0,219789.2153,233693.85950198665,2020.0,166000.0,98000.0,262000.0,10.525282872026253,6249700.0,164000.0
AL9,2005 - 2014,50000.0,4200000.0,447179.0395,365558.12832381343,1644.0,332000.0,232500.0,540000.0,3.531224491685536,4150000.0,307500.0
AL9,2015 +,498.0,10902000.0,681390.9004,703426.6138972323,1656.0,497000.0,340000.0,780000.0,6.214220517983336,10901502.0,440000.0
B1,1995 - 2004,11100.0,1050000.0,154333.4807,69345.33878453405,2022.0,150000.0,115000.0,195500.0,1.521767518006385,1038900.0,80500.0
B1,2005 - 2014,22950.0,3457000.0,158512.6466,107910.54116995123,2855.0,145000.0,117000.0,183680.0,17.81145917305201,3434050.0,66680.0
B1,2015 +,6000.0,74300000.0,353314.7676,1970515.8696065173,3963.0,191950.0,159000.0,245000.0,25.57659795323845,74294000.0,86000.0
B10,1995 - 2004,5000.0,390000.0,57611.1294,34623.780195342835,2612.0,46000.0,34000.0,74000.0,1.9568352643475893,385000.0,40000.0
B10,2005 - 2014,19000.0,3260000.0,123389.0758,99317.68628853252,1544.0,115000.0,98000.0,135000.0,23.387819071902307,3241000.0,37000.0
B10,2015 +,5000.0,8579876.0,174016.3934,428739.4660434984,1098.0,139000.0,105000.0,174000.0,16.667553160650623,8574876.0,69000.0
B11,1995 - 2004,2500.0,500000.0,61279.8832,39088.1107474337,5396.0,49950.0,35750.0,78000.0,2.6992583700514983,497500.0,42250.0
B11,2005 - 2014,12000.0,2820000.0,126490.0919,77987.54525406421,3471.0,115000.0,96000.0,139000.0,16.123395598255875,2808000.0,43000.0
B11,2015 +,250.0,13700000.0,200514.5789,463420.6090027119,2942.0,145000.0,115000.0,190000.0,19.058885680799715,13699750.0,75000.0
B12,1995 - 2004,3000.0,320000.0,61166.1444,38274.04012014728,1620.0,49000.0,35000.0,80000.0,1.691568514466953,317000.0,45000.0
B12,2005 - 2014,16500.0,685000.0,134269.4953,55764.89029459693,1165.0,125000.0,100000.0,159280.0,2.351891381352955,668500.0,59280.0
B12,2015 +,1000.0,13000000.0,257901.7202,663550.242087711,1780.0,155000.0,116950.0,214920.0,10.457943805502184,12999000.0,97970.0
B13,1995 - 2004,1500.0,1200000.0,109467.2572,87685.38157376385,6275.0,83000.0,52000.0,136500.0,2.5650873568413632,1198500.0,84500.0
B13,2005 - 2014,12400.0,1070000.0,201419.606,126154.5177352531,4637.0,163000.0,117500.0,244000.0,1.889648295165593,1057600.0,126500.0
B13,2015 +,650.0,4350000.0,268511.3583,210686.1563683538,4331.0,200000.0,138500.0,337500.0,4.033222253550068,4349350.0,199000.0
B14,1995 - 2004,800.0,439950.0,79951.6833,44745.66021875425,6987.0,67500.0,49000.0,98000.0,1.7555612219989087,439150.0,49000.0
B14,2005 - 2014,9000.0,672500.0,149605.5697,61635.53026826772,5399.0,137500.0,110000.0,173000.0,1.5193466909455065,663500.0,63000.0
B14,2015 +,300.0,6775000.0,225782.2129,222294.16698972177,5561.0,195000.0,148000.0,261000.0,16.995879904887662,6774700.0,113000.0
B15,1995 - 2004,12736.0,1350000.0,171796.1927,162067.02961553595,2231.0,118000.0,69950.0,215000.0,2.511348006235887,1337264.0,145050.0
B15,2005 - 2014,30000.0,16600000.0,277268.2255,455443.70398242975,2603.0,165000.0,133000.0,260000.0,20.471110912711318,16570000.0,127000.0
B15,2015 +,950.0,47823225.0,403291.7659,1270084.2610628896,3341.0,229950.0,178080.0,325000.0,22.687766259839016,47822275.0,146920.0
B16,1995 - 2004,800.0,670000.0,116772.2892,76076.81575985118,4406.0,102000.0,58000.0,160000.0,1.4609825031570924,669200.0,102000.0
B16,2005 - 2014,15000.0,1325000.0,160967.6284,89888.45392568731,2960.0,139500.0,105000.0,195000.0,3.175236904787248,1310000.0,90000.0
B16,2015 +,3750.0,21741467.0,245302.5061,581047.7214159693,3612.0,180000.0,130000.0,257500.0,21.631890600765058,21737717.0,127500.0
B17,1995 - 2004,4000.0,1100000.0,123489.4147,90185.41680576753,5949.0,97500.0,63000.0,154000.0,2.341491060737642,1096000.0,91000.0
B17,2005 - 2014,10000.0,1150000.0,233318.2572,132417.12687844268,4385.0,200000.0,146000.0,270000.0,1.867205631635641,1140000.0,124000.0
B17,2015 +,1666.0,15502903.0,341656.1748,374628.401057198,4183.0,275500.0,182000.0,410000.0,19.856719155987083,15501237.0,228000.0
B18,1995 - 2004,4975.0,499950.0,80576.0962,68041.33737433184,2184.0,53000.0,29000.0,120950.0,1.418749829205891,494975.0,91950.0
B18,2005 - 2014,11000.0,543412.0,121879.1897,57708.01607565572,1766.0,110000.0,83000.0,150000.0,1.974821302142509,532412.0,67000.0
B18,2015 +,3000.0,53581972.0,254543.2054,1457970.5778967785,1631.0,153500.0,110000.0,205000.0,31.22448592077108,53578972.0,95000.0
B19,1995 - 2004,8000.0,360000.0,45800.307,31570.34624834381,1088.0,37000.0,25000.0,59750.0,2.7274247206524125,352000.0,34750.0
B19,2005 - 2014,10000.0,1000000.0,110369.8081,63777.14325548674,839.0,100000.0,78750.0,125000.0,6.359057433846858,990000.0,46250.0
B19,2015 +,2200.0,31690000.0,248276.8453,1095040.6286132508,1028.0,147000.0,102500.0,205800.0,24.44524430825077,31687800.0,103300.0
B2,1995 - 2004,71250.0,174950.0,119760.0,23142.096849147925,73.0,120000.0,104000.0,135000.0,0.0405683121349915,103700.0,31000.0
B2,2005 - 2014,20000.0,71400000.0,361570.4038,3476443.5459055747,426.0,149995.0,127075.0,181176.0,20.10329961761418,71380000.0,54101.0
B2,2015 +,25000.0,40375000.0,1509535.346,4830926.413689867,211.0,170000.0,145000.0,229614.0,4.839000556704016,40350000.0,84614.0
B20,1995 - 2004,1000.0,585000.0,76143.0963,54198.17063084999,4204.0,60000.0,40000.0,92000.0,2.45424027805012,584000.0,52000.0
B20,2005 - 2014,11047.0,875000.0,152872.0636,70748.19086823604,2470.0,140000.0,107000.0,184000.0,1.99189736540234,863953.0,77000.0
B20,2015 +,1000.0,2215000.0,207182.4911,157261.4186263691,2356.0,175000.0,120000.0,250000.0,4.7151328422454,2214000.0,130000.0
B21,1995 - 2004,1520.0,294000.0,46819.3054,30044.019354488155,3933.0,38500.0,26625.0,59950.0,2.1517155510592434,292480.0,33325.0
B21,2005 - 2014,10000.0,21025000.0,118331.2004,434674.3056445452,2350.0,100000.0,85000.0,122500.0,47.383289749964526,21015000.0,37500.0
B21,2015 +,10000.0,6895298.0,157314.9747,234288.3139080496,1974.0,129000.0,101500.0,165000.0,19.60179442149932,6885298.0,63500.0
B23,1995 - 2004,1000.0,460000.0,63675.7817,32970.99451166027,8416.0,54950.0,40500.0,79950.0,1.7849567465244152,459000.0,39450.0
B23,2005 - 2014,7500.0,830000.0,119733.2945,44369.96969684165,6085.0,115000.0,93000.0,139850.0,3.551395028659338,822500.0,46850.0
B23,2015 +,250.0,16612691.0,165993.3589,279826.9955729527,5927.0,149000.0,115000.0,188500.0,45.95769075616929,16612441.0,73500.0
B24,1995 - 2004,1700.0,450000.0,78611.3288,42087.52632471477,5624.0,68000.0,48500.0,96000.0,1.6297663207029165,448300.0,47500.0
B24,2005 - 2014,3500.0,4110000.0,138734.9229,82057.46003372244,3773.0,130000.0,105000.0,160000.0,30.37936171868824,4106500.0,55000.0
B24,2015 +,100.0,30150000.0,223519.1241,795478.481161846,3899.0,171000.0,130000.0,225000.0,30.348601210656977,30149900.0,95000.0
B25,1995 - 2004,9000.0,1400000.0,65033.9098,42822.97710405773,2771.0,55000.0,40500.0,81950.0,11.868317878383277,1391000.0,41450.0
B25,2005 - 2014,16712.0,465000.0,117485.0755,37065.082451270944,1789.0,113250.0,97500.0,128000.0,2.4326665467902915,448288.0,30500.0
B25,2015 +,1000.0,5197706.0,175290.5593,218452.0356803079,1686.0,150000.0,118000.0,190000.0,17.40223298247464,5196706.0,72000.0
B26,1995 - 2004,1250.0,365000.0,76519.0818,36805.51428342945,5842.0,65500.0,51000.0,94500.0,1.4101471838791386,363750.0,43500.0
B26,2005 - 2014,10575.0,1842000.0,135414.0953,51820.31763286209,4555.0,132500.0,114000.0,153000.0,13.859648203132249,1831425.0,39000.0
B26,2015 +,1250.0,22302991.0,213862.9271,666332.3755891939,5051.0,179000.0,145000.0,220000.0,25.837718893911838,22301741.0,75000.0
B27,1995 - 2004,3000.0,525000.0,75098.4669,40652.9101108172,4440.0,65000.0,47000.0,92500.0,2.185579448819531,522000.0,45500.0
B27,2005 - 2014,11000.0,675000.0,138286.371,50955.37661899543,3167.0,127500.0,110000.0,155000.0,2.17844509224978,664000.0,45000.0
B27,2015 +,250.0,8378762.0,203049.199,327666.74817865464,2915.0,170000.0,133000.0,220000.0,20.74719702168016,8378512.0,87000.0
B28,1995 - 2004,650.0,500000.0,98724.2135,49745.16133628028,5551.0,86000.0,63000.0,124950.0,1.3986551490018913,499350.0,61950.0
B28,2005 - 2014,4850.0,3251000.0,178407.7812,78708.20743049489,3990.0,170000.0,137000.0,210000.0,15.419509302487493,3246150.0,73000.0
B28,2015 +,2000.0,13500000.0,256380.2779,355910.0842769322,4020.0,235000.0,177000.0,291000.0,28.43735636539505,13498000.0,114000.0
B29,1995 - 2004,2000.0,950000.0,83245.9243,52969.423162389154,7069.0,66000.0,50000.0,102000.0,2.866403656997476,948000.0,52000.0
B29,2005 - 2014,10000.0,2491085.0,159842.2526,83917.74465432807,5003.0,142000.0,114999.0,178000.0,6.595682597615138,2481085.0,63001.0
B29,2015 +,1034.0,59180000.0,311628.2324,1836270.5468537407,5181.0,200000.0,155000.0,293000.0,30.551312735508105,59178966.0,138000.0
B3,1995 - 2004,22975.0,382500.0,133428.4537,55396.82110547548,767.0,135500.0,94000.0,165000.0,0.6536766459640821,359525.0,71000.0
B3,2005 - 2014,19500.0,3700000.0,159501.0108,160599.22582955376,1016.0,140000.0,115000.0,167500.0,15.144450365152643,3680500.0,52500.0
B3,2015 +,2500.0,104500000.0,784448.9456,4317179.736053121,1343.0,200000.0,155000.0,295000.0,15.072517912715552,104497500.0,140000.0
B30,1995 - 2004,1000.0,735000.0,83513.5108,52382.93477776808,5818.0,67750.0,47500.0,102500.0,2.1051825996975224,734000.0,55000.0
B30,2005 - 2014,12000.0,3972000.0,161662.7981,94854.73766769069,4602.0,139000.0,115000.0,193000.0,15.339000587681348,3960000.0,78000.0
B30,2015 +,5000.0,9300000.0,236541.4898,248892.16014139907,4410.0,207000.0,147500.0,275400.0,19.906762209250623,9295000.0,127900.0
B31,1995 - 2004,1000.0,720000.0,78486.3891,48367.31135047352,8570.0,65000.0,47000.0,95000.0,2.61867899114788,719000.0,48000.0
B31,2005 - 2014,10000.0,1900000.0,134177.0142,61226.23567738942,7054.0,124500.0,100000.0,154950.0,5.0796956778211575,1890000.0,54950.0
B31,2015 +,100.0,24000000.0,197883.7032,346740.7418677128,8212.0,170000.0,130000.0,225000.0,47.751204196683446,23999900.0,95000.0
B32,1995 - 2004,800.0,526000.0,72783.9112,38500.51653678426,5169.0,62720.0,46000.0,90000.0,1.7557001015860492,525200.0,44000.0
B32,2005 - 2014,10000.0,13368320.0,134806.91,223197.80789180883,3855.0,120000.0,98000.0,156500.0,54.39844849183024,13358320.0,58500.0
B32,2015 +,350.0,7480760.0,195334.3228,242489.50249926312,4411.0,166000.0,125000.0,225000.0,17.641240341724075,7480410.0,100000.0
B33,1995 - 2004,3250.0,320000.0,60079.0035,31020.4326189676,4573.0,52000.0,39000.0,75000.0,2.063715434065239,316750.0,36000.0
B33,2005 - 2014,5000.0,1250000.0,113118.5419,50451.559259627466,3458.0,105000.0,89950.0,125000.0,7.801675261160331,1245000.0,35050.0
B33,2015 +,500.0,9134454.0,168522.9626,242147.7900259229,3453.0,148000.0,115000.0,185000.0,23.111903757515854,9133954.0,70000.0
B34,1995 - 2004,1500.0,250000.0,70833.2684,36499.21260485496,2377.0,60000.0,45500.0,85500.0,1.4793003480188809,248500.0,40000.0
